ID,Время создания,Время изменения,Мы рассмотрели параметрические критерии (их ещё называют критериями однородности). Что это такое?,Мы рассмотрели параметрические критерии (их ещё называют критериями однородности). Что это такое? / Баллы,"Для задачи детектирования эффекта за нулевую гипотезу обычно берётся гипотеза о том, что","Для задачи детектирования эффекта за нулевую гипотезу обычно берётся гипотеза о том, что / Баллы","Правосторонняя, левосторонняя или двусторонняя альтернативы выбираются в зависимости от","Правосторонняя, левосторонняя или двусторонняя альтернативы выбираются в зависимости от / Баллы","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве матожидания (равенство известному числу или равенство матожиданий между выборками)  для выборки из нормального распределения / z-test","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве матожидания (равенство известному числу или равенство матожиданий между выборками)  для выборки из нормального распределения / t-test","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве матожидания (равенство известному числу или равенство матожиданий между выборками)  для выборки из нормального распределения / критерий Уэлча (Аспина-Уэлча)","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве матожидания (равенство известному числу или равенство матожиданий между выборками)  для выборки из нормального распределения / критерий Фишера","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве матожидания (равенство известному числу или равенство матожиданий между выборками)  для выборки из нормального распределения / f-test","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве матожидания (равенство известному числу или равенство матожиданий между выборками)  для выборки из нормального распределения / критерий Колмогорова-Смирнова","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве матожидания (равенство известному числу или равенство матожиданий между выборками)  для выборки из нормального распределения / критерий Андерсона-Дарлинга","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве матожидания (равенство известному числу или равенство матожиданий между выборками)  для выборки из нормального распределения / тест Манна-Уитни","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве матожидания (равенство известному числу или равенство матожиданий между выборками)  для выборки из нормального распределения / Баллы","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве дисперсии для выборки из нормального распределения (равенство известному числу или равенство дисперсий между выборками) / z-test","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве дисперсии для выборки из нормального распределения (равенство известному числу или равенство дисперсий между выборками) / t-test","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве дисперсии для выборки из нормального распределения (равенство известному числу или равенство дисперсий между выборками) / критерий Уэлча (Аспина-Уэлча)","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве дисперсии для выборки из нормального распределения (равенство известному числу или равенство дисперсий между выборками) / критерий Фишера","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве дисперсии для выборки из нормального распределения (равенство известному числу или равенство дисперсий между выборками) / критерий хи-квадрат для дисперсий","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве дисперсии для выборки из нормального распределения (равенство известному числу или равенство дисперсий между выборками) / критерий Колмогорова-Смирнова","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве дисперсии для выборки из нормального распределения (равенство известному числу или равенство дисперсий между выборками) / критерий Андерсона-Дарлинга","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве дисперсии для выборки из нормального распределения (равенство известному числу или равенство дисперсий между выборками) / тест Манна-Уитни","Выберите критерии, которые сегодня были рассмотрены на лекции для проверки гипотезы о равенстве дисперсии для выборки из нормального распределения (равенство известному числу или равенство дисперсий между выборками) / Баллы",Набрано баллов,Всего баллов,Результат теста
1292642154,2023-01-15 21:23:51,2023-01-15 21:23:51,"Критерии, при помощи которых мы проверяем равенство параметров распределения (известному числу или равенство между выборками), при этом имея представление о распределении выборки",1.0,Эффект отсутствует,1.0,Ожидаемого эффекта,1.0,,t-test,,,,,,,,,,,,критерий хи-квадрат для дисперсий,,,,,3.0,7.0,Лучше посмотреть после лекции слайды
1291927122,2023-01-14 13:07:30,2023-01-14 13:07:30,"Критерии, при помощи которых мы можем детектировать эффект (эффективность лекарства, например) на выборках из произвольного распределения",,Эффект отсутствует,1.0,Ожидаемого эффекта,1.0,z-test,t-test,,критерий Фишера,f-test,,,,,,,,,критерий хи-квадрат для дисперсий,,,,,2.0,7.0,Лучше посмотреть после лекции слайды
1291819854,2023-01-14 08:34:17,2023-01-14 08:34:17,"Критерии, при помощи которых мы проверяем равенство параметров распределения (известному числу или равенство между выборками), при этом имея представление о распределении выборки",1.0,Эффект отсутствует,1.0,Ожидаемого эффекта,1.0,,,,критерий Фишера,f-test,критерий Колмогорова-Смирнова,,,,z-test,t-test,критерий Уэлча (Аспина-Уэлча),,критерий хи-квадрат для дисперсий,,,,,3.0,7.0,Лучше посмотреть после лекции слайды
1289189767,2023-01-09 19:12:26,2023-01-09 19:12:26,"Критерии, в которых есть параметр, оцениваемый при помощи метода моментов или методом максимального правдоподобия",,Эффект отсутствует,1.0,p_value,,z-test,t-test,,,f-test,,,,,,,,,,,критерий Андерсона-Дарлинга,,,1.0,7.0,Лучше посмотреть после лекции слайды
1289189073,2023-01-09 19:11:14,2023-01-09 19:11:14,"Критерии, которые проверяют принадлежность нашей выборки конкретному распределению",,Эффект отсутствует,1.0,Ожидаемого эффекта,1.0,z-test,t-test,,,,,,,,,,,,критерий хи-квадрат для дисперсий,,,,,2.0,7.0,Лучше посмотреть после лекции слайды
1289187553,2023-01-09 19:08:42,2023-01-09 19:08:42,"Критерии, при помощи которых мы можем детектировать эффект (эффективность лекарства, например) на выборках из произвольного распределения",,Эффект отсутствует,1.0,Ожидаемого эффекта,1.0,z-test,t-test,,,,,,,,,,,критерий Фишера,критерий хи-квадрат для дисперсий,,,,2.0,4.0,7.0,Лучше посмотреть после лекции слайды
1289187516,2023-01-09 19:08:39,2023-01-09 19:08:39,"Критерии, при помощи которых мы проверяем равенство параметров распределения (известному числу или равенство между выборками), при этом имея представление о распределении выборки",1.0,Эффект отсутствует,1.0,Ожидаемого эффекта,1.0,z-test,t-test,,,,,,,,,,,критерий Фишера,критерий хи-квадрат для дисперсий,,,,2.0,5.0,7.0,"Молодец, классно слушаешь лекцию!"
1289186125,2023-01-09 19:06:14,2023-01-09 19:06:14,"Критерии, при помощи которых мы проверяем равенство параметров распределения (известному числу или равенство между выборками), при этом имея представление о распределении выборки",1.0,Эффект отсутствует,1.0,p_value,,,,,,,,,тест Манна-Уитни,,,,,,критерий хи-квадрат для дисперсий,,,,,2.0,7.0,Лучше посмотреть после лекции слайды
1289185740,2023-01-09 19:05:31,2023-01-09 19:05:31,"Критерии, при помощи которых мы проверяем равенство параметров распределения (известному числу или равенство между выборками), при этом имея представление о распределении выборки",1.0,Эффект присутствует,,p_value,,z-test,t-test,,,,,,,,,,критерий Уэлча (Аспина-Уэлча),критерий Фишера,критерий хи-квадрат для дисперсий,,,,,1.0,7.0,Лучше посмотреть после лекции слайды
1289137950,2023-01-09 17:41:51,2023-01-09 17:41:51,"Критерии, в которых есть параметр, оцениваемый при помощи метода моментов или методом максимального правдоподобия",,Эффект отсутствует,1.0,Выборки,,z-test,t-test,,,,,,,,,,,,критерий хи-квадрат для дисперсий,,,,,1.0,7.0,Лучше посмотреть после лекции слайды
1282788142,2022-12-26 22:36:41,2022-12-26 22:36:42,"Критерии, при помощи которых мы проверяем равенство параметров распределения (известному числу или равенство между выборками), при этом имея представление о распределении выборки",1.0,Эффект отсутствует,1.0,Выборки,,z-test,t-test,,,f-test,,,,,,,критерий Уэлча (Аспина-Уэлча),критерий Фишера,,,критерий Андерсона-Дарлинга,,,2.0,7.0,Лучше посмотреть после лекции слайды
1282754672,2022-12-26 21:23:34,2022-12-26 21:23:34,"Критерии, при помощи которых мы проверяем равенство параметров распределения (известному числу или равенство между выборками), при этом имея представление о распределении выборки",1.0,Эффект отсутствует,1.0,Ожидаемого эффекта,1.0,z-test,t-test,критерий Уэлча (Аспина-Уэлча),,,,,,2.0,,,,критерий Фишера,критерий хи-квадрат для дисперсий,,,,2.0,7.0,7.0,"Молодец, классно слушаешь лекцию!"
1282754634,2022-12-26 21:23:30,2022-12-26 21:23:30,"Критерии, при помощи которых мы можем детектировать эффект (эффективность лекарства, например) на выборках из произвольного распределения",,Эффект отсутствует,1.0,Ожидаемого эффекта,1.0,z-test,t-test,критерий Уэлча (Аспина-Уэлча),,f-test,,,,,,,,критерий Фишера,критерий хи-квадрат для дисперсий,,,,2.0,4.0,7.0,Лучше посмотреть после лекции слайды
1282753100,2022-12-26 21:20:34,2022-12-26 21:20:34,"Критерии, при помощи которых мы проверяем равенство параметров распределения (известному числу или равенство между выборками), при этом имея представление о распределении выборки",1.0,Зависит от данных,,Ожидаемого эффекта,1.0,z-test,t-test,критерий Уэлча (Аспина-Уэлча),,,,,,2.0,,,,критерий Фишера,критерий хи-квадрат для дисперсий,,,,2.0,6.0,7.0,"Молодец, классно слушаешь лекцию!"
1282752470,2022-12-26 21:19:24,2022-12-26 21:19:24,"Критерии, при помощи которых мы проверяем равенство параметров распределения (известному числу или равенство между выборками), при этом имея представление о распределении выборки",1.0,Эффект отсутствует,1.0,p_value,,z-test,,критерий Уэлча (Аспина-Уэлча),,,,,,,,,,,критерий хи-квадрат для дисперсий,,,,,2.0,7.0,Лучше посмотреть после лекции слайды
1282752369,2022-12-26 21:19:13,2022-12-26 21:19:13,"Критерии, при помощи которых мы проверяем равенство параметров распределения (известному числу или равенство между выборками), при этом имея представление о распределении выборки",1.0,Эффект отсутствует,1.0,Ожидаемого эффекта,1.0,z-test,t-test,критерий Уэлча (Аспина-Уэлча),,,,,,2.0,,,,критерий Фишера,критерий хи-квадрат для дисперсий,,,,2.0,7.0,7.0,"Молодец, классно слушаешь лекцию!"
1282751755,2022-12-26 21:17:57,2022-12-26 21:17:57,"Критерии, при помощи которых мы проверяем равенство параметров распределения (известному числу или равенство между выборками), при этом имея представление о распределении выборки",1.0,Эффект присутствует,,Выборки,,z-test,,,,,,,,,,t-test,,критерий Фишера,критерий хи-квадрат для дисперсий,,,,,1.0,7.0,Лучше посмотреть после лекции слайды
1282747442,2022-12-26 21:09:33,2022-12-26 21:09:33,"Критерии, которые проверяют принадлежность нашей выборки конкретному распределению",,Эффект отсутствует,1.0,Уровня значимости,,z-test,,критерий Уэлча (Аспина-Уэлча),критерий Фишера,,,,,,z-test,,критерий Уэлча (Аспина-Уэлча),критерий Фишера,,,,,,1.0,7.0,Лучше посмотреть после лекции слайды
1282746876,2022-12-26 21:08:26,2022-12-26 21:08:26,"Критерии, при помощи которых мы можем детектировать эффект (эффективность лекарства, например) на выборках из произвольного распределения",,Зависит от данных,,Уровня значимости,,,,критерий Уэлча (Аспина-Уэлча),,f-test,,,,,,t-test,,критерий Фишера,,,,,,0.0,7.0,Лучше посмотреть после лекции слайды
1282746687,2022-12-26 21:08:05,2022-12-26 21:08:05,"Критерии, при помощи которых мы проверяем равенство параметров распределения (известному числу или равенство между выборками), при этом имея представление о распределении выборки",1.0,Эффект присутствует,,Ожидаемого эффекта,1.0,z-test,,,,,,,,,,,,критерий Фишера,критерий хи-квадрат для дисперсий,,,,2.0,4.0,7.0,Лучше посмотреть после лекции слайды
1282486849,2022-12-26 14:23:38,2022-12-26 14:23:38,"Критерии, которые проверяют принадлежность нашей выборки конкретному распределению",,Эффект отсутствует,1.0,Ожидаемого эффекта,1.0,z-test,t-test,критерий Уэлча (Аспина-Уэлча),,,,критерий Андерсона-Дарлинга,,,,,,критерий Фишера,критерий хи-квадрат для дисперсий,,,,2.0,4.0,7.0,Лучше посмотреть после лекции слайды
1282442417,2022-12-26 13:21:14,2022-12-26 13:21:14,"Критерии, при помощи которых мы проверяем равенство параметров распределения (известному числу или равенство между выборками), при этом имея представление о распределении выборки",1.0,Эффект отсутствует,1.0,Ожидаемого эффекта,1.0,z-test,t-test,критерий Уэлча (Аспина-Уэлча),,,,,,2.0,,,,критерий Фишера,критерий хи-квадрат для дисперсий,,,,2.0,7.0,7.0,"Молодец, классно слушаешь лекцию!"
